Feature,Tree_Importance,Mean_Abs_SHAP
max_consecutive_same_delta,0.34944146964458966,0.08679999024457667
abs_dominant_stride,0.30113125560057774,0.05131796172881649
forward_ratio,0.1338135351159222,0.040210222522240935
dominant_stride_ratio,0.04633479236234801,0.02238968795018642
cache_line_reuse_ratio,0.015539117528126109,0.012513280818470592
backward_ratio,0.028328678193662336,0.008058627889995014
delta_cv,0.011609127021466416,0.006382341999679666
delta_entropy,0.02791502910814802,0.005647551364731282
std_delta,0.008652550445339934,0.005202108240663991
mean_abs_delta,0.01592164872722719,0.00459740827600565
std_cl_delta,0.019379341556247723,0.004040442000988818
max_abs_delta,0.007973002042972516,0.0036050758512704067
mean_stride_to_cl_ratio,0.007407506321598383,0.0035637307136493035
page_reuse_ratio,0.0019254870453018972,0.0022717222768650074
unique_ip_count,0.00526555830757168,0.0018025752052933427
unique_cache_lines,0.006325287198682339,0.0016447238659558336
mean_cl_delta,0.004637938412173877,0.0011209242022067606
cl_small_jump_ratio,0.004373332880170656,0.000938564876990374
mean_delta,0.0026085957246429355,0.0004709109728120126
stride_change_rate,0.0006457898922804886,0.00019144948755490544
std_abs_delta,0.00047957320430515744,0.00017488619237970358
cl_delta_entropy,0.00029138366664473007,0.00015506309152045331
avg_accesses_per_cache_line,0.0,0.0
unique_address_ratio,0.0,0.0
large_jump_ratio,0.0,0.0
delta_sign_change_rate,0.0,0.0
