Feature,Tree_Importance,Mean_Abs_SHAP,Class_1_SHAP,Class_2_SHAP,Class_3_SHAP,Class_4_SHAP,Class_5_SHAP,Class_6_SHAP,Class_7_SHAP,Class_8_SHAP
max_consecutive_same_delta,0.34900220928447845,0.0900856514631532,0.2478810873146883,0.03416975582052345,0.2281202854102814,0.04102300663644406,0.005547661648218117,0.09260276966141927,0.030353718591514894,0.04098692662212995
abs_dominant_stride,0.3011312556005778,0.05096464904199123,0.1636494413962356,0.05274136383704408,0.004704713646319776,0.008972071982288434,0.007012267067570479,0.10781654843372175,0.05450285744713385,0.008317928525622277
backward_ratio,0.13419491348450918,0.03671182851765382,0.041619294269498466,0.06574131113080355,0.09910044527456227,0.03977801724886926,0.007544643342996367,0.0,0.0255471257348811,0.014363791139620274
dominant_stride_ratio,0.0556248945520213,0.01462949819461841,0.002898026964595103,0.036926311522258004,0.008032019139796601,0.028180661384033433,0.008815186527527805,0.0,0.020929511797772523,0.011254268220965253
cache_line_reuse_ratio,0.0032536381862337507,0.010488452538068396,0.0,0.04177048347061749,0.0033925659440491433,0.0001020963935734472,0.0,0.03854037810273286,0.0001020963935734472,0.0
mean_cl_delta,0.017192492524161315,0.009379104194524437,0.022537515926801165,0.01167050886635957,0.02614683020655424,0.0,0.0002055259940926612,0.0,0.0051581626933218825,0.009314289869066126
avg_accesses_per_cache_line,0.0040793986421580304,0.006620223968226148,0.01991101570374327,0.003485779537802879,0.01252782078188559,0.0,0.0005404530866375377,0.0,0.00542231931839179,0.011074403317348238
delta_cv,0.01150861688823455,0.006059923774961837,0.0,0.014738885489793449,0.016503827979351654,0.000930901889947587,0.0006099797044048862,0.0,0.0035794402369481227,0.012116354899248642
cl_small_jump_ratio,0.030418360782216547,0.005093556828214395,0.017563699738688435,0.0007946432038056618,0.0,0.013314117783996007,0.004249581954692273,0.0,0.0020158843703637808,0.0028105275741694778
std_delta,0.013422609827716704,0.004903316707508647,0.007953992549076942,0.00621625024423165,0.004479364246344445,0.003514725896947046,0.007528205322206664,0.0,0.0049396063615961255,0.004594389039666542
delta_sign_change_rate,0.026923249882642605,0.0043945314874447505,0.0,0.0,0.0,0.007480379901476468,0.010097746048302608,0.0,0.017578125949779002,0.0
stride_change_rate,0.0009706206763525901,0.0041062488163650405,0.016030384836543905,0.0007594875878595751,0.012748573767645316,0.0,0.0,0.0,0.0012686097260815937,0.0020429346127905624
mean_stride_to_cl_ratio,0.0076298911345067605,0.003542846781829984,0.008863168539458536,0.0034028144667157052,0.0026708449504819075,0.0006510880746802387,0.00022596388016760054,0.0,0.0030591483845997494,0.009469745958535928
std_cl_delta,0.011779570020884887,0.0033215463817314723,0.0,0.0028823129800632126,0.002917553696339687,0.010305233568903617,0.005169901918245756,0.0,0.004754671528262428,0.0005426973620371468
max_abs_delta,0.007064338450601699,0.0030871406800610296,0.0,0.0008367619714625907,0.010357977707101592,0.00020897169901989843,0.0006214973703083645,0.0,0.011474587584777691,0.0011973291078178202
page_reuse_ratio,0.0019254870453018975,0.0023739317392180775,0.0063193858696097924,0.0008193189165855109,0.008316919585459083,0.0,0.00020783034636341093,0.0,0.002073303333361702,0.0012546958623651397
std_abs_delta,0.008914226941608622,0.0018606878541496403,0.0,0.00013612428140063486,0.006284270643267933,0.0009074070909774447,0.0,0.0,0.0070727864697455395,0.00048491434780545726
unique_cache_lines,0.003911103261631561,0.0018156106124303305,0.0,0.003399571494191567,0.0023461858814078423,0.0009346658175051529,0.0005775378805105321,0.0,0.0033842549450157824,0.003882668880811591
unique_ip_count,0.004148171221462636,0.0015886065662171116,0.006334556811890077,0.0003517555909690955,0.0,0.0,0.0,0.0,0.0009629929522922949,0.005059547174585251
mean_delta,0.004257562068312711,0.0009784782432879864,0.0,0.00272477145993753,0.0013221730949400823,0.0,0.0,0.0,0.0018216380791705685,0.0019592433122558772
unique_address_ratio,0.0014409316213581135,0.0006808924101887181,0.0,0.000822693637182716,0.0,0.0007311571656597361,0.0008250759637569303,0.0,0.0017496489387873882,0.001318563576123031
delta_entropy,0.0006296668644842896,0.0001626639682260346,0.0,0.0,0.0006506558729041382,0.0,0.0,0.0,0.0,0.0006506558729041384
cl_delta_entropy,0.000576791038544135,0.00016019043901668569,0.0,0.0004164712257785583,0.0,0.0,0.0004023465148299919,0.0,0.00026299346595228467,0.00019971230557265561
mean_abs_delta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
forward_ratio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
large_jump_ratio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
