Feature,Tree_Importance,Mean_Abs_SHAP
max_consecutive_same_delta,0.12153414897208906,0.028391489363474083
stride_change_rate,0.10184533478969564,0.022847229380433154
delta_entropy,0.08336484771097646,0.020427800955563263
dominant_stride_ratio,0.10634140715891152,0.016735504418630018
delta_cv,0.047869032455532874,0.01327522651907241
unique_ip_count,0.06421063901606418,0.013257870216637935
std_delta,0.062205106971576406,0.011948816556813817
cl_small_jump_ratio,0.038909903424961416,0.007729757075351494
abs_dominant_stride,0.035668901304086655,0.007363551917610189
forward_ratio,0.019692253474808644,0.006054579286281583
std_abs_delta,0.033804120852748115,0.005841530892939567
unique_cache_lines,0.02800794924759711,0.005389140126764857
avg_accesses_per_cache_line,0.0271015202869352,0.005302009246103014
cache_line_reuse_ratio,0.025005250859199715,0.00527506987111762
std_cl_delta,0.034659229813642375,0.005136345927113107
backward_ratio,0.018890270234330472,0.004889625802174085
mean_abs_delta,0.030477805534791375,0.004271951978517107
max_abs_delta,0.021661309618326748,0.003973175328891977
cl_delta_entropy,0.024207514372146226,0.003609977597943613
large_jump_ratio,0.02097622486991505,0.0031780265818384663
mean_cl_delta,0.01008161950311877,0.0031635523084945004
delta_sign_change_rate,0.019320442324255203,0.003065532897461485
mean_delta,0.008976641630437644,0.0027586966122034057
unique_address_ratio,0.00744127002176885,0.0013499374711480245
page_reuse_ratio,0.004631401577344295,0.0013187071383241444
mean_stride_to_cl_ratio,0.003115853974740107,0.00107962676462093
