Feature,Tree_Importance,Mean_Abs_SHAP
max_abs_delta,0.8106399832004001,0.2676624594083068
delta_sign_change_rate,0.1401536507577887,0.07333592062004264
page_reuse_ratio,0.0029051552790632837,0.013079735262104864
backward_ratio,0.023419073297613197,0.011022180056762166
abs_dominant_stride,0.008034889611758427,0.009356524791052308
delta_entropy,0.010610559369888566,0.007874803250761788
mean_delta,0.000912205260149753,0.004707641831094063
max_consecutive_same_delta,0.0028078800097039954,0.002146573741488025
forward_ratio,0.0005166032136338916,0.0003601904643026382
std_delta,0.0,0.0
stride_change_rate,0.0,0.0
dominant_stride_ratio,0.0,0.0
std_abs_delta,0.0,0.0
mean_abs_delta,0.0,0.0
unique_ip_count,0.0,0.0
unique_address_ratio,0.0,0.0
large_jump_ratio,0.0,0.0
delta_cv,0.0,0.0
