Feature,Tree_Importance,Mean_Abs_SHAP,Class_1_SHAP,Class_2_SHAP,Class_3_SHAP,Class_4_SHAP,Class_5_SHAP
avg_accesses_per_cache_line,0.4104360161355192,0.1600010303647467,0.22201280639144752,0.08894639729668523,0.14639002246398988,0.1599075905059213,0.1827483351657133
backward_ratio,0.18865366786709767,0.07355613197859752,0.13258899527072363,0.15205857017988317,0.021156300384351984,0.0512360301194978,0.010740763938574548
max_abs_delta,0.08919030714851049,0.06364909509822168,0.0656406342895682,0.08354731141443136,0.04404965399680917,0.1048731377247505,0.02013473806554124
unique_ip_count,0.1411433387266397,0.05424597768631386,0.018989254111997946,0.00732777163456863,0.10409951903372074,0.017169956798139728,0.12364338685314549
dominant_stride_ratio,0.048634831934642714,0.029749416544423576,0.008493119095160066,0.017937428686665407,0.06898382007946362,0.02383394350822327,0.029498771352607277
stride_change_rate,0.03386966940255419,0.02705717503458697,0.028549583173819493,0.03332173371324454,0.034068483057742426,0.01631400808012915,0.02303206714799392
abs_dominant_stride,0.015406595416362892,0.02226089148914772,0.02835722499005527,0.0044939975180107155,0.0030500839067169852,0.033483120660279954,0.041920030370675654
std_delta,0.006252835905475977,0.017563174822757117,0.024658119920896695,0.039982458371209104,0.011968586528564846,0.00235361179883217,0.008853097494271555
forward_ratio,0.023780660642796124,0.014963686753467827,0.004127679791530573,0.0007293225301530647,0.03499075084356292,0.00240543962496777,0.032565240977126805
cl_small_jump_ratio,0.02813533752985785,0.013641102805853317,0.003463200588865981,0.015166134237040715,0.029700834214561253,0.00024247870739426815,0.01963286628140591
max_consecutive_same_delta,0.004363838983999816,0.008715273306045919,0.007760720955146073,0.0041743783105900965,0.009855273286911926,5.295553265532343e-05,0.021733038444928233
delta_entropy,0.0005288412520841176,0.008085857202823142,0.0005037683934221447,0.020063892886694516,0.019737747686981368,0.0,0.00012387704701467454
std_cl_delta,0.0007406082030262928,0.002296230630338031,0.0008878026689958285,0.0,0.0037326930189951514,0.0013828159359958044,0.005477841527703327
mean_abs_delta,0.0082684765645139,0.0021639689929548976,0.0017507622611252294,0.0043175569485937836,0.0013754112696712625,0.0031996240903763053,0.00017649039500593704
std_abs_delta,0.00033461838955622806,0.002014936154561991,0.000840818180670615,0.0,0.004196522205734708,0.0,0.0050373403864048885
unique_cache_lines,3.8550713459430886e-05,0.001162769843275434,0.0,0.002906924608188404,0.0,0.002906924608188404,0.0
cache_line_reuse_ratio,0.00011279499413864808,0.0002989736763207659,0.00040477130766839543,0.0003426628831335569,0.00034266288313355574,0.00040477130766839543,0.0
page_reuse_ratio,8.047535776278553e-05,0.000279779854083651,0.0,0.0003151573781277537,0.0005821936198525674,0.0,0.0005015482724380737
mean_stride_to_cl_ratio,7.147979615682816e-06,7.883013296746204e-05,0.0,0.00019707533241866394,0.00019707533241864267,0.0,0.0
mean_delta,2.1386852386296405e-05,1.4220352765250406e-05,0.0,3.555088191311916e-05,0.0,0.0,3.555088191311905e-05
mean_cl_delta,0.0,0.0,0.0,0.0,0.0,0.0,0.0
