Feature,Tree_Importance,Mean_Abs_SHAP
max_abs_delta,0.42241244153332663,0.13553937124774396
delta_sign_change_rate,0.22114392156333573,0.06194197896500807
forward_ratio,0.19396332774443964,0.06152121809408676
backward_ratio,0.12666371975038054,0.03201603963470897
unique_address_ratio,0.012816280453482154,0.004507300360842662
max_consecutive_same_delta,0.006403630756513456,0.0020990150303095154
delta_entropy,0.006458304099869701,0.001715124226078747
stride_change_rate,0.004776733228066166,0.0012418067324685496
large_jump_ratio,0.0009713489724980002,0.0003688139304700732
mean_abs_delta,0.00117471989675727,0.000354638399776473
dominant_stride_ratio,0.001212360371689234,0.0003429755791936944
std_abs_delta,0.001141413293139434,0.00023048148005927414
mean_delta,0.0005112363013147372,0.00011198007266181617
std_delta,0.0003505620351872483,9.925658477219748e-05
abs_dominant_stride,0.0,0.0
page_reuse_ratio,0.0,0.0
unique_ip_count,0.0,0.0
delta_cv,0.0,0.0
