Feature,Tree_Importance,Mean_Abs_SHAP
std_abs_delta,0.3008785893181605,0.1659144032349477
unique_address_ratio,0.2572565991383065,0.11839936820097181
unique_ip_count,0.2699157657460958,0.07715804031547163
backward_ratio,0.11095664729071499,0.0464523437591267
large_jump_ratio,0.017230820034723687,0.04537076171110147
abs_dominant_stride,0.004170927569110339,0.031593172177580814
stride_change_rate,0.025723952155741883,0.010557390044581921
max_abs_delta,0.010502878525476277,0.006995653923074549
delta_sign_change_rate,0.0023524517832655208,0.0036962749049617378
max_consecutive_same_delta,0.00032027386043788933,0.0032004449977207383
delta_entropy,0.0005143552934263491,0.0007651601241212499
mean_abs_delta,0.00017673928454018875,0.00024108823492227337
std_delta,0.0,0.0
mean_delta,0.0,0.0
dominant_stride_ratio,0.0,0.0
forward_ratio,0.0,0.0
page_reuse_ratio,0.0,0.0
delta_cv,0.0,0.0
