Feature,Tree_Importance,Mean_Abs_SHAP,Class_1_SHAP,Class_2_SHAP,Class_3_SHAP,Class_4_SHAP,Class_5_SHAP,Class_6_SHAP,Class_7_SHAP,Class_8_SHAP
max_consecutive_same_delta,0.509524556044812,0.09209336058804136,0.29115601461071583,0.013286037739709213,0.25379918053929285,0.05449062416377394,0.04235023918831336,0.025692551788925357,0.009747713098038926,0.04622452357561014
abs_dominant_stride,0.2355360675342866,0.03020788165071071,0.1122849529807804,0.008487207653415714,0.0020623529126763984,0.054078424124074896,0.002221953308635778,0.013765994943567917,0.004819807391655078,0.04394235989087976
forward_ratio,0.05173834475388103,0.022478689469624547,0.01606664630239899,0.016923519681412993,0.07016944567477412,0.03751245866497613,0.01128560006125586,0.01998142175267683,0.007890423619491835,0.0
mean_abs_delta,0.028618771119754402,0.015798496389278126,0.03129770695403037,0.007661674150467949,0.050347798635852,0.01271966748791475,0.01791385398423006,0.0023107416731511514,0.004136528228571824,0.0
delta_entropy,0.06043281870912332,0.008889054274871118,0.0035143592587294666,0.0012088291407236808,0.0015276901960704266,0.0042212144169604705,0.0058534007965406875,0.02069784101941647,0.00881166432861287,0.025277435041913023
avg_accesses_per_cache_line,0.004034303324666732,0.008189784349929449,0.02342240590387347,0.0013536085035566585,0.01391499081550806,0.00869889239993032,0.016187116979987006,0.0004620215144855763,0.0014792386820904786,0.0
mean_stride_to_cl_ratio,0.009888100996109157,0.004774945854594474,0.01129802837022878,0.0004034985196410623,0.00778216637926989,0.006426745750348021,0.010747320437527994,0.00042431668571060705,0.001117490694029266,0.0
unique_ip_count,0.03441684495986846,0.0047279948291101175,0.01890901217181727,0.0016343439270472323,0.001807460195589049,0.0019199694469866969,0.0028759706414069977,0.006417076065857572,0.004260126184177568,0.0
std_abs_delta,0.0019521383442016496,0.004605276126002921,0.017336538057017438,0.0013364525021699076,0.0142424134473644,0.0011003694682330395,0.002473929711807492,0.00024520163312026977,0.0001073041883108639,0.0
unique_cache_lines,0.012751202871627454,0.004066170268989274,0.0002679539127714913,0.006417765275090064,0.002095501278572707,0.01453671699065343,0.0029327279752794596,0.0042654276304076475,0.002013269089141518,0.0
std_cl_delta,0.02590077124416358,0.00318440602706127,0.00011054510180497742,0.0004856492568516065,0.0006048414876722963,0.0001352376490068612,7.016667817638483e-05,0.01201653899266895,0.012052269050308508,0.0
mean_cl_delta,0.005690685299981735,0.0018007089480207687,0.0003785619565149991,0.003592596687925461,0.006378117586270733,0.0015600856617570887,0.0014334078555395039,0.0004436949834388963,0.0006192068527183135,0.0
max_abs_delta,0.004914880958937999,0.0012386797018826459,0.000334789176600919,0.0008605326259444557,0.0038471328248318093,0.0035291691853295815,0.0012376636209681482,0.00010015018138587469,0.0,0.0
page_reuse_ratio,0.001510889906577892,0.001138133779329086,0.00087696838472592,0.0006985872575909699,0.0012269790662352681,0.000943054813865759,0.0024118491932496704,0.0003773514486598439,0.002570280070305772,0.0
dominant_stride_ratio,0.005027012882579967,0.0007859935911914802,0.0001913560513384471,0.0018716558690257165,0.002471587851182979,0.0009134497728431499,0.0008398991851409888,0.0,0.0,0.0
std_delta,0.0028682012280486203,0.0007162228816484978,0.0,0.0,0.0,0.0,0.0,0.002864891526593991,0.002864891526593991,0.0
mean_delta,0.0016499339701602066,0.0004932953467800523,0.0003920404676964897,0.00037992467145479055,0.001734803590450914,0.000419240538006356,0.0006275539291667905,0.0002811380058875723,0.0001116615715780942,0.0
stride_change_rate,0.001432479821752261,0.00038084708530605326,0.000226215159490137,0.0005282567708029953,0.0008683679969161613,0.00040508834698345126,0.00028519174794128303,0.0006022665044563557,0.00013139015585771823,0.0
cl_small_jump_ratio,0.0012299042887961896,0.00022298273685003467,0.00016864268843916336,0.00015905155414003465,0.00028851878085306757,0.0004950603472250294,0.00023071988636381296,0.00016598505659221516,0.0002758835811870338,0.0
cache_line_reuse_ratio,0.0006753462348454552,0.00012583060705256176,0.00023206489512122433,0.0,5.785469602413984e-05,9.00436740126079e-05,0.00022652231031046352,5.9054244542770725e-05,0.00034110503640926,0.0
backward_ratio,0.00020674550582570601,4.81081905527276e-05,9.662060043419833e-05,0.0,9.662060043419834e-05,9.581216177669589e-05,9.581216177669592e-05,0.0,0.0,0.0
