Feature,Tree_Importance,Mean_Abs_SHAP
max_abs_delta,0.34725151192684156,0.11788814588903497
large_jump_ratio,0.09908841502683964,0.065246618373892
delta_entropy,0.07174230175188138,0.05449587246846699
delta_cv,0.12905704394371356,0.05145145775304383
page_reuse_ratio,0.09252813407766967,0.03985875511197786
mean_abs_delta,0.12061906468082488,0.03566899238892597
max_consecutive_same_delta,0.053880696634062294,0.027358853176572336
delta_sign_change_rate,0.029158001835576354,0.010107828763672305
unique_address_ratio,0.02478420258564086,0.00987119894792012
std_abs_delta,0.010431758032266912,0.0070111848484136485
unique_ip_count,0.005593350295916705,0.004063407565276036
std_delta,0.010200649473772591,0.0038887013216473217
forward_ratio,0.0028169077928845297,0.002810083193273129
dominant_stride_ratio,0.0015918620875594828,0.0010049741090087242
mean_delta,0.0012560998545496603,0.0005366814134056646
abs_dominant_stride,0.0,0.0
stride_change_rate,0.0,0.0
backward_ratio,0.0,0.0
