thread_id,ip,mem_addr,access_type,size,delta,abs_delta,direction,cache_line,cl_delta,page
0,94630212297093,140190748055400,0,8,45560535746432.0,45560535746432.0,1,2190480438365,,34226256849
0,94630212297142,140720780324464,0,8,530032269064.0,530032269064.0,1,2198762192569,8281754204.0,34355659258
0,94630212296820,94630212308944,0,8,-46090568015520.0,46090568015520.0,-1,1478597067327,-720165125242.0,23103079176
0,94630212297164,140720780324472,0,8,46090568015528.0,46090568015528.0,1,2198762192569,720165125242.0,34355659258
0,94630212296820,94630212308944,0,8,-46090568015528.0,46090568015528.0,-1,1478597067327,-720165125242.0,23103079176
0,94630212297536,140720780319912,1,8,46090568010968.0,46090568010968.0,1,2198762192498,720165125171.0,34355659257
0,94630212297591,140720780317872,1,4,-2040.0,2040.0,-1,2198762192466,-32.0,34355659257
0,94630212297591,140720780317876,1,4,4.0,4.0,1,2198762192466,0.0,34355659257
0,94630212297591,140720780317880,1,4,4.0,4.0,1,2198762192466,0.0,34355659257
0,94630212297591,140720780317884,1,4,4.0,4.0,1,2198762192466,0.0,34355659257
0,94630212297591,140720780317888,1,4,4.0,4.0,1,2198762192467,1.0,34355659257
0,94630212297591,140720780317892,1,4,4.0,4.0,1,2198762192467,0.0,34355659257
0,94630212297591,140720780317896,1,4,4.0,4.0,1,2198762192467,0.0,34355659257
0,94630212297591,140720780317900,1,4,4.0,4.0,1,2198762192467,0.0,34355659257
0,94630212297591,140720780317904,1,4,4.0,4.0,1,2198762192467,0.0,34355659257
0,94630212297591,140720780317908,1,4,4.0,4.0,1,2198762192467,0.0,34355659257
0,94630212297591,140720780317912,1,4,4.0,4.0,1,2198762192467,0.0,34355659257
0,94630212297591,140720780317916,1,4,4.0,4.0,1,2198762192467,0.0,34355659257
0,94630212297591,140720780317920,1,4,4.0,4.0,1,2198762192467,0.0,34355659257
0,94630212297591,140720780317924,1,4,4.0,4.0,1,2198762192467,0.0,34355659257
0,94630212297591,140720780317928,1,4,4.0,4.0,1,2198762192467,0.0,34355659257
0,94630212297591,140720780317932,1,4,4.0,4.0,1,2198762192467,0.0,34355659257
0,94630212297591,140720780317936,1,4,4.0,4.0,1,2198762192467,0.0,34355659257
0,94630212297591,140720780317940,1,4,4.0,4.0,1,2198762192467,0.0,34355659257
0,94630212297591,140720780317944,1,4,4.0,4.0,1,2198762192467,0.0,34355659257
0,94630212297591,140720780317948,1,4,4.0,4.0,1,2198762192467,0.0,34355659257
0,94630212297591,140720780317952,1,4,4.0,4.0,1,2198762192468,1.0,34355659257
0,94630212297591,140720780317956,1,4,4.0,4.0,1,2198762192468,0.0,34355659257
0,94630212297591,140720780317960,1,4,4.0,4.0,1,2198762192468,0.0,34355659257
0,94630212297591,140720780317964,1,4,4.0,4.0,1,2198762192468,0.0,34355659257
0,94630212297591,140720780317968,1,4,4.0,4.0,1,2198762192468,0.0,34355659257
0,94630212297591,140720780317972,1,4,4.0,4.0,1,2198762192468,0.0,34355659257
0,94630212297591,140720780317976,1,4,4.0,4.0,1,2198762192468,0.0,34355659257
0,94630212297591,140720780317980,1,4,4.0,4.0,1,2198762192468,0.0,34355659257
0,94630212297591,140720780317984,1,4,4.0,4.0,1,2198762192468,0.0,34355659257
0,94630212297591,140720780317988,1,4,4.0,4.0,1,2198762192468,0.0,34355659257
0,94630212297591,140720780317992,1,4,4.0,4.0,1,2198762192468,0.0,34355659257
0,94630212297591,140720780317996,1,4,4.0,4.0,1,2198762192468,0.0,34355659257
0,94630212297591,140720780318000,1,4,4.0,4.0,1,2198762192468,0.0,34355659257
0,94630212297591,140720780318004,1,4,4.0,4.0,1,2198762192468,0.0,34355659257
0,94630212297591,140720780318008,1,4,4.0,4.0,1,2198762192468,0.0,34355659257
0,94630212297591,140720780318012,1,4,4.0,4.0,1,2198762192468,0.0,34355659257
0,94630212297591,140720780318016,1,4,4.0,4.0,1,2198762192469,1.0,34355659257
0,94630212297591,140720780318020,1,4,4.0,4.0,1,2198762192469,0.0,34355659257
0,94630212297591,140720780318024,1,4,4.0,4.0,1,2198762192469,0.0,34355659257
0,94630212297591,140720780318028,1,4,4.0,4.0,1,2198762192469,0.0,34355659257
0,94630212297591,140720780318032,1,4,4.0,4.0,1,2198762192469,0.0,34355659257
0,94630212297591,140720780318036,1,4,4.0,4.0,1,2198762192469,0.0,34355659257
0,94630212297591,140720780318040,1,4,4.0,4.0,1,2198762192469,0.0,34355659257
0,94630212297591,140720780318044,1,4,4.0,4.0,1,2198762192469,0.0,34355659257
0,94630212297591,140720780318048,1,4,4.0,4.0,1,2198762192469,0.0,34355659257
0,94630212297591,140720780318052,1,4,4.0,4.0,1,2198762192469,0.0,34355659257
0,94630212297591,140720780318056,1,4,4.0,4.0,1,2198762192469,0.0,34355659257
0,94630212297591,140720780318060,1,4,4.0,4.0,1,2198762192469,0.0,34355659257
0,94630212297591,140720780318064,1,4,4.0,4.0,1,2198762192469,0.0,34355659257
0,94630212297591,140720780318068,1,4,4.0,4.0,1,2198762192469,0.0,34355659257
0,94630212297591,140720780318072,1,4,4.0,4.0,1,2198762192469,0.0,34355659257
0,94630212297591,140720780318076,1,4,4.0,4.0,1,2198762192469,0.0,34355659257
0,94630212297591,140720780318080,1,4,4.0,4.0,1,2198762192470,1.0,34355659257
0,94630212297591,140720780318084,1,4,4.0,4.0,1,2198762192470,0.0,34355659257
0,94630212297591,140720780318088,1,4,4.0,4.0,1,2198762192470,0.0,34355659257
0,94630212297591,140720780318092,1,4,4.0,4.0,1,2198762192470,0.0,34355659257
0,94630212297591,140720780318096,1,4,4.0,4.0,1,2198762192470,0.0,34355659257
0,94630212297591,140720780318100,1,4,4.0,4.0,1,2198762192470,0.0,34355659257
0,94630212297591,140720780318104,1,4,4.0,4.0,1,2198762192470,0.0,34355659257
0,94630212297591,140720780318108,1,4,4.0,4.0,1,2198762192470,0.0,34355659257
0,94630212297591,140720780318112,1,4,4.0,4.0,1,2198762192470,0.0,34355659257
0,94630212297591,140720780318116,1,4,4.0,4.0,1,2198762192470,0.0,34355659257
0,94630212297591,140720780318120,1,4,4.0,4.0,1,2198762192470,0.0,34355659257
0,94630212297591,140720780318124,1,4,4.0,4.0,1,2198762192470,0.0,34355659257
0,94630212297591,140720780318128,1,4,4.0,4.0,1,2198762192470,0.0,34355659257
0,94630212297591,140720780318132,1,4,4.0,4.0,1,2198762192470,0.0,34355659257
0,94630212297591,140720780318136,1,4,4.0,4.0,1,2198762192470,0.0,34355659257
0,94630212297591,140720780318140,1,4,4.0,4.0,1,2198762192470,0.0,34355659257
0,94630212297591,140720780318144,1,4,4.0,4.0,1,2198762192471,1.0,34355659257
0,94630212297591,140720780318148,1,4,4.0,4.0,1,2198762192471,0.0,34355659257
0,94630212297591,140720780318152,1,4,4.0,4.0,1,2198762192471,0.0,34355659257
0,94630212297591,140720780318156,1,4,4.0,4.0,1,2198762192471,0.0,34355659257
0,94630212297591,140720780318160,1,4,4.0,4.0,1,2198762192471,0.0,34355659257
0,94630212297591,140720780318164,1,4,4.0,4.0,1,2198762192471,0.0,34355659257
0,94630212297591,140720780318168,1,4,4.0,4.0,1,2198762192471,0.0,34355659257
0,94630212297591,140720780318172,1,4,4.0,4.0,1,2198762192471,0.0,34355659257
0,94630212297591,140720780318176,1,4,4.0,4.0,1,2198762192471,0.0,34355659257
0,94630212297591,140720780318180,1,4,4.0,4.0,1,2198762192471,0.0,34355659257
0,94630212297591,140720780318184,1,4,4.0,4.0,1,2198762192471,0.0,34355659257
0,94630212297591,140720780318188,1,4,4.0,4.0,1,2198762192471,0.0,34355659257
0,94630212297591,140720780318192,1,4,4.0,4.0,1,2198762192471,0.0,34355659257
0,94630212297591,140720780318196,1,4,4.0,4.0,1,2198762192471,0.0,34355659257
0,94630212297591,140720780318200,1,4,4.0,4.0,1,2198762192471,0.0,34355659257
0,94630212297591,140720780318204,1,4,4.0,4.0,1,2198762192471,0.0,34355659257
0,94630212297591,140720780318208,1,4,4.0,4.0,1,2198762192472,1.0,34355659257
0,94630212297591,140720780318212,1,4,4.0,4.0,1,2198762192472,0.0,34355659257
0,94630212297591,140720780318216,1,4,4.0,4.0,1,2198762192472,0.0,34355659257
0,94630212297591,140720780318220,1,4,4.0,4.0,1,2198762192472,0.0,34355659257
0,94630212297591,140720780318224,1,4,4.0,4.0,1,2198762192472,0.0,34355659257
0,94630212297591,140720780318228,1,4,4.0,4.0,1,2198762192472,0.0,34355659257
0,94630212297591,140720780318232,1,4,4.0,4.0,1,2198762192472,0.0,34355659257
0,94630212297591,140720780318236,1,4,4.0,4.0,1,2198762192472,0.0,34355659257
0,94630212297591,140720780318240,1,4,4.0,4.0,1,2198762192472,0.0,34355659257
0,94630212297591,140720780318244,1,4,4.0,4.0,1,2198762192472,0.0,34355659257
0,94630212297591,140720780318248,1,4,4.0,4.0,1,2198762192472,0.0,34355659257
0,94630212297591,140720780318252,1,4,4.0,4.0,1,2198762192472,0.0,34355659257
0,94630212297591,140720780318256,1,4,4.0,4.0,1,2198762192472,0.0,34355659257
0,94630212297591,140720780318260,1,4,4.0,4.0,1,2198762192472,0.0,34355659257
0,94630212297591,140720780318264,1,4,4.0,4.0,1,2198762192472,0.0,34355659257
