thread_id,ip,mem_addr,access_type,size,delta,abs_delta,direction,cache_line,cl_delta,page
0,94875210715569,140731520560320,0,8,45856309832920.0,45856309832920.0,1,2198930008755,,34358281386
0,94875210715284,94875210727376,0,8,-45856309832944.0,45856309832944.0,-1,1482425167615,-716504841140.0,23162893243
0,94875210715268,94875210727368,0,8,-8.0,8.0,-1,1482425167615,0.0,23162893243
0,94875210715629,94876110586528,1,4,899859160.0,899859160.0,1,1482439227914,14060299.0,23163112936
0,94875210715635,94876110586536,1,8,8.0,8.0,1,1482439227914,0.0,23163112936
0,94875210715268,94875210727368,0,8,-899859168.0,899859168.0,-1,1482425167615,-14060299.0,23162893243
0,94875210715629,94876110586560,1,4,899859192.0,899859192.0,1,1482439227915,14060300.0,23163112936
0,94875210715635,94876110586568,1,8,8.0,8.0,1,1482439227915,0.0,23163112936
0,94875210715658,94876110586536,1,8,-32.0,32.0,-1,1482439227914,-1.0,23163112936
0,94875210715268,94875210727368,0,8,-899859168.0,899859168.0,-1,1482425167615,-14060299.0,23162893243
0,94875210715629,94876110586592,1,4,899859224.0,899859224.0,1,1482439227915,14060300.0,23163112936
0,94875210715635,94876110586600,1,8,8.0,8.0,1,1482439227915,0.0,23163112936
0,94875210715658,94876110586568,1,8,-32.0,32.0,-1,1482439227915,0.0,23163112936
0,94875210715268,94875210727368,0,8,-899859200.0,899859200.0,-1,1482425167615,-14060300.0,23162893243
0,94875210715629,94876110586624,1,4,899859256.0,899859256.0,1,1482439227916,14060301.0,23163112936
0,94875210715635,94876110586632,1,8,8.0,8.0,1,1482439227916,0.0,23163112936
0,94875210715658,94876110586600,1,8,-32.0,32.0,-1,1482439227915,-1.0,23163112936
0,94875210715268,94875210727368,0,8,-899859232.0,899859232.0,-1,1482425167615,-14060300.0,23162893243
0,94875210715629,94876110586656,1,4,899859288.0,899859288.0,1,1482439227916,14060301.0,23163112936
0,94875210715635,94876110586664,1,8,8.0,8.0,1,1482439227916,0.0,23163112936
0,94875210715658,94876110586632,1,8,-32.0,32.0,-1,1482439227916,0.0,23163112936
0,94875210715268,94875210727368,0,8,-899859264.0,899859264.0,-1,1482425167615,-14060301.0,23162893243
0,94875210715629,94876110586688,1,4,899859320.0,899859320.0,1,1482439227917,14060302.0,23163112936
0,94875210715635,94876110586696,1,8,8.0,8.0,1,1482439227917,0.0,23163112936
0,94875210715658,94876110586664,1,8,-32.0,32.0,-1,1482439227916,-1.0,23163112936
0,94875210715268,94875210727368,0,8,-899859296.0,899859296.0,-1,1482425167615,-14060301.0,23162893243
0,94875210715629,94876110586720,1,4,899859352.0,899859352.0,1,1482439227917,14060302.0,23163112936
0,94875210715635,94876110586728,1,8,8.0,8.0,1,1482439227917,0.0,23163112936
0,94875210715658,94876110586696,1,8,-32.0,32.0,-1,1482439227917,0.0,23163112936
0,94875210715268,94875210727368,0,8,-899859328.0,899859328.0,-1,1482425167615,-14060302.0,23162893243
0,94875210715629,94876110586752,1,4,899859384.0,899859384.0,1,1482439227918,14060303.0,23163112936
0,94875210715635,94876110586760,1,8,8.0,8.0,1,1482439227918,0.0,23163112936
0,94875210715658,94876110586728,1,8,-32.0,32.0,-1,1482439227917,-1.0,23163112936
0,94875210715268,94875210727368,0,8,-899859360.0,899859360.0,-1,1482425167615,-14060302.0,23162893243
0,94875210715629,94876110586784,1,4,899859416.0,899859416.0,1,1482439227918,14060303.0,23163112936
0,94875210715635,94876110586792,1,8,8.0,8.0,1,1482439227918,0.0,23163112936
0,94875210715658,94876110586760,1,8,-32.0,32.0,-1,1482439227918,0.0,23163112936
0,94875210715268,94875210727368,0,8,-899859392.0,899859392.0,-1,1482425167615,-14060303.0,23162893243
0,94875210715629,94876110586816,1,4,899859448.0,899859448.0,1,1482439227919,14060304.0,23163112936
0,94875210715635,94876110586824,1,8,8.0,8.0,1,1482439227919,0.0,23163112936
0,94875210715658,94876110586792,1,8,-32.0,32.0,-1,1482439227918,-1.0,23163112936
0,94875210715268,94875210727368,0,8,-899859424.0,899859424.0,-1,1482425167615,-14060303.0,23162893243
0,94875210715629,94876110586848,1,4,899859480.0,899859480.0,1,1482439227919,14060304.0,23163112936
0,94875210715635,94876110586856,1,8,8.0,8.0,1,1482439227919,0.0,23163112936
0,94875210715658,94876110586824,1,8,-32.0,32.0,-1,1482439227919,0.0,23163112936
0,94875210715268,94875210727368,0,8,-899859456.0,899859456.0,-1,1482425167615,-14060304.0,23162893243
0,94875210715629,94876110586880,1,4,899859512.0,899859512.0,1,1482439227920,14060305.0,23163112936
0,94875210715635,94876110586888,1,8,8.0,8.0,1,1482439227920,0.0,23163112936
0,94875210715658,94876110586856,1,8,-32.0,32.0,-1,1482439227919,-1.0,23163112936
0,94875210715268,94875210727368,0,8,-899859488.0,899859488.0,-1,1482425167615,-14060304.0,23162893243
0,94875210715629,94876110586912,1,4,899859544.0,899859544.0,1,1482439227920,14060305.0,23163112936
