mean_delta,std_delta,mean_abs_delta,std_abs_delta,max_abs_delta,forward_ratio,backward_ratio,zero_ratio,unique_cache_lines,mean_cl_delta,std_cl_delta,unique_pages,read_ratio,write_ratio,unique_ip_count
532964.48,2954690861574.446,186816800298.656,2948767137242.6846,46671023279808.0,0.502,0.498,0.0,65,-1461383917.759519,32645030824.084175,4,0.0,0.0,6
8.0,188621537.61320606,133242136.0,133375558.31536908,266486264.0,0.5,0.5,0.0,65,0.126,2947211.3939066916,3,0.0,0.0,4
8.0,188624368.87300763,133244136.0,133377560.31837405,266490264.0,0.5,0.5,0.0,65,0.124,2947255.629509832,3,0.0,0.0,4
8.0,188627200.1328092,133246136.0,133379562.32137902,266494264.0,0.5,0.5,0.0,65,0.126,2947299.870775491,3,0.0,0.0,4
8.0,188630031.39261076,133248136.0,133381564.32438399,266498264.0,0.5,0.5,0.0,65,0.124,2947344.1063786307,3,0.0,0.0,4
8.0,188632862.65241235,133250136.0,133383566.32738897,266502264.0,0.5,0.5,0.0,65,0.126,2947388.34764429,3,0.0,0.0,4
8.0,188635693.9122139,133252136.0,133385568.33039393,266506264.0,0.5,0.5,0.0,65,0.124,2947432.5832474297,2,0.0,0.0,4
8.0,188638525.1720155,133254136.0,133387570.33339891,266510264.0,0.5,0.5,0.0,65,0.126,2947476.824513089,3,0.0,0.0,4
-51.088,82657999.76833454,25585101.328,78590302.81964651,266511032.0,0.9,0.1,0.0,117,-0.798,1291531.1882272642,5,0.0,0.0,6
16.0,8.008012020035062,16.0,8.008012020035062,24.0,1.0,0.0,0.0,126,0.25,0.433446365197594,3,0.0,0.0,2
16.0,8.008012020035062,16.0,8.008012020035062,24.0,1.0,0.0,0.0,126,0.25,0.433446365197594,3,0.0,0.0,2
16.0,8.008012020035062,16.0,8.008012020035062,24.0,1.0,0.0,0.0,126,0.25,0.433446365197594,3,0.0,0.0,2
