mean_delta,std_delta,mean_abs_delta,std_abs_delta,max_abs_delta,forward_ratio,backward_ratio,zero_ratio,unique_cache_lines,mean_cl_delta,std_cl_delta,unique_pages,read_ratio,write_ratio,unique_ip_count
93104110537.336,4643861451417.394,465520552762.04,4621362488970.599,46552055277192.0,0.994,0.006,0.0,35,23926939.94188377,65191174767.13588,5,0.0,0.0,6
4.0,0.0,4.0,0.0,4.0,1.0,0.0,0.0,32,0.062,0.24139706934878133,1,0.0,0.0,1
4.0,0.0,4.0,0.0,4.0,1.0,0.0,0.0,33,0.064,0.24499805733146615,2,0.0,0.0,1
4.0,0.0,4.0,0.0,4.0,1.0,0.0,0.0,32,0.062,0.24139706934878133,1,0.0,0.0,1
4.0,0.0,4.0,0.0,4.0,1.0,0.0,0.0,32,0.062,0.24139706934878133,2,0.0,0.0,1
-2.672,1403.4962685977957,389.968,1348.120591503026,9996.0,0.98,0.02,0.0,77,-0.042,21.935692037643598,4,0.0,0.0,2
0.08,1400.8415426647339,391.92,1344.7854585244884,9796.0,0.98,0.02,0.0,76,0.002,21.896138421089482,4,0.0,0.0,1
0.08,1400.8415426647339,391.92,1344.7854585244884,9796.0,0.98,0.02,0.0,75,0.0,21.881444083752353,4,0.0,0.0,1
0.08,1400.8415426647339,391.92,1344.7854585244884,9796.0,0.98,0.02,0.0,76,0.002,21.896138421089482,4,0.0,0.0,1
0.08,1400.8415426647339,391.92,1344.7854585244884,9796.0,0.98,0.02,0.0,75,0.002,21.881764536674755,4,0.0,0.0,1
