mean_delta,std_delta,mean_abs_delta,std_abs_delta,max_abs_delta,forward_ratio,backward_ratio,zero_ratio,unique_cache_lines,mean_cl_delta,std_cl_delta,unique_pages,read_ratio,write_ratio,unique_ip_count
91860144187.512,4582969966469.042,459300721012.92,4560777236161.957,45930072102280.0,0.994,0.006,0.0,35,21747679.5250501,64319826689.05689,5,0.0,0.0,6
4.0,0.0,4.0,0.0,4.0,1.0,0.0,0.0,32,0.062,0.24139706934878133,1,0.0,0.0,1
4.0,0.0,4.0,0.0,4.0,1.0,0.0,0.0,33,0.064,0.24499805733146615,2,0.0,0.0,1
4.0,0.0,4.0,0.0,4.0,1.0,0.0,0.0,32,0.062,0.24139706934878133,1,0.0,0.0,1
4.0,0.0,4.0,0.0,4.0,1.0,0.0,0.0,32,0.062,0.24139706934878133,2,0.0,0.0,1
-16.0,447.21359549995793,23.984,446.855824623558,9996.0,0.998,0.002,0.0,33,-0.25,6.983483233756082,3,0.0,0.0,2
4.0,0.0,4.0,0.0,4.0,1.0,0.0,0.0,32,0.062,0.24139706934878133,1,0.0,0.0,1
4.0,0.0,4.0,0.0,4.0,1.0,0.0,0.0,33,0.064,0.24499805733146615,2,0.0,0.0,1
4.0,0.0,4.0,0.0,4.0,1.0,0.0,0.0,32,0.062,0.24139706934878133,1,0.0,0.0,1
4.0,0.0,4.0,0.0,4.0,1.0,0.0,0.0,32,0.062,0.24139706934878133,2,0.0,0.0,1
